BATS,LNAME,FNAME,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,TEAM,YEAR
L,Aoki, Norichika,134,565,489,84,145,19,2,16,216,58,1,2,1,3,61,2,11,72,13,0.297,0.442,0.385,S,2019
R,Araki, Takahiro,93,140,124,12,31,6,0,2,43,22,1,0,0,1,13,1,2,29,1,0.25,0.347,0.329,S,2019
R,Balentien, Wladimir,120,468,410,65,115,13,0,33,227,93,0,1,0,3,54,3,1,117,11,0.28,0.554,0.363,S,2019
R,Buchanan, David,18,32,27,2,2,0,0,0,2,0,0,0,3,0,2,0,0,15,0,0.074,0.074,0.138,S,2019
L,Fujii, Ryota,6,17,13,1,1,0,0,0,1,0,1,0,1,0,3,0,0,3,0,0.077,0.077,0.25,S,2019
R,Hamada, Taiki,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,S,2019
R,Hara, Juri,12,26,22,2,6,1,0,0,7,1,0,0,2,0,2,0,0,8,0,0.273,0.318,0.333,S,2019
R,Hatakeyama, Kazuhiro,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,S,2019
R,Hirai, Ryo,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,2019
R,Hirooka, Taishi,91,243,202,32,41,6,1,10,79,25,1,1,5,1,33,0,2,77,4,0.203,0.391,0.319,S,2019
R,Hoshi, Tomoya,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,2019
S,Huff, Dave,68,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,S,2019
R,Igarashi, Ryota,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,2019
R,Ino, Suguru,7,11,10,1,2,1,0,0,3,0,0,0,1,0,0,0,0,4,1,0.2,0.3,0.2,S,2019
L,Ishikawa, Masanori,23,41,34,3,8,0,0,0,8,4,0,0,6,0,1,0,0,8,0,0.235,0.235,0.257,S,2019
R,Ishiyama, Taichi,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,2019
L,Kawabata, Shingo,37,67,61,5,10,1,0,0,11,7,0,0,0,1,5,0,0,8,2,0.164,0.18,0.224,S,2019
R,Kazahari, Ren,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,S,2019
R,Koga, Yudai,11,17,15,1,3,0,0,0,3,0,0,0,1,0,1,0,0,2,0,0.2,0.2,0.25,S,2019
R,Kondo, Kazuki,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,2019
L,Kubo, Takuma,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,2019
R,Kuramoto, Harutaka,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,2019
R,Matsumoto, Naoki,33,73,66,5,14,1,0,1,18,4,0,0,3,0,3,0,1,9,2,0.212,0.273,0.257,S,2019
R,McGough, Scott,65,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,S,2019
L,Miyamoto, Takeshi,26,47,42,5,6,0,0,0,6,0,2,1,1,0,4,0,0,19,2,0.143,0.143,0.217,S,2019
L,Murakami, Munetaka,143,593,511,76,118,20,0,36,246,96,5,4,0,3,74,5,5,184,9,0.231,0.481,0.332,S,2019
R,Nakamura, Yuhei,126,450,372,42,100,24,2,5,143,36,1,4,13,2,53,3,10,64,11,0.269,0.384,0.373,S,2019
L,Nakao, Hikaru,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,2019
R,Nakayama, Shota,35,100,97,11,28,4,0,5,47,14,0,0,0,0,3,0,0,25,2,0.289,0.485,0.31,S,2019
L,Nakazawa, Masato,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,2019
R,Nishida, Akihisa,47,62,54,2,11,5,0,0,16,4,0,0,0,0,8,1,0,16,1,0.204,0.296,0.306,S,2019
R,Nishiura, Naomichi,44,162,149,17,35,9,0,4,56,19,0,0,2,0,10,0,1,35,6,0.235,0.376,0.288,S,2019
R,Obiki, Keiji,70,137,119,7,24,7,0,1,34,13,1,0,4,1,13,2,0,28,4,0.202,0.286,0.278,S,2019
R,Ogawa, Yasuhiro,26,52,45,3,4,3,0,0,7,5,0,0,2,0,5,0,0,20,0,0.089,0.156,0.18,S,2019
L,Okumura, Nobuyuki,74,195,166,15,33,8,1,1,46,12,0,2,10,0,16,1,3,47,2,0.199,0.277,0.281,S,2019
L,Omura, Hajime,5,5,5,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0.2,0.8,0.2,S,2019
L,Oshita, Yuma,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,2019
L,Ota, Kengo,90,337,303,36,76,13,1,3,100,27,0,0,8,1,23,0,2,78,5,0.251,0.33,0.307,S,2019
L,Sakaguchi, Tomotaka,22,77,64,2,8,1,0,0,9,2,0,0,1,0,10,0,2,13,2,0.125,0.141,0.263,S,2019
L,Sakamoto, Koshiro,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,2019
L,Shimizu, Noboru,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,S,2019
R,Shiomi, Yasutaka,45,98,88,20,16,2,2,1,25,7,4,1,0,0,8,0,2,24,1,0.182,0.284,0.265,S,2019
R,Suarez, Albert,4,8,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0.125,0.125,0.125,S,2019
L,Tagawa, Kengo,4,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,S,2019
L,Takahashi, Keiji,20,32,30,2,6,1,0,0,7,4,0,0,2,0,0,0,0,10,0,0.2,0.233,0.2,S,2019
L,Takai, Yuhei,131,493,447,55,122,19,0,12,177,56,4,3,1,6,37,4,2,71,4,0.273,0.396,0.327,S,2019
R,Takanashi, Hirotoshi,21,19,18,0,1,0,0,0,1,0,0,0,1,0,0,0,0,8,1,0.056,0.056,0.056,S,2019
L,Tashiro, Shotaro,51,21,19,7,5,1,2,0,10,7,1,1,0,1,0,0,1,6,0,0.263,0.526,0.286,S,2019
R,Tateyama, Shohei,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,2019
R,Terahara, Hayato,4,6,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.167,S,2019
L,Terashima, Naruki,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,S,2019
L,Ueda, Tsuyoshi,56,57,51,9,12,0,0,0,12,4,1,1,3,1,1,0,1,7,1,0.235,0.235,0.259,S,2019
R,Umeno, Yugo,68,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,S,2019
R,Watanabe, Daiki,16,9,7,5,1,0,0,1,4,1,1,0,1,0,0,0,1,2,0,0.143,0.571,0.25,S,2019
L,Yagi, Shogo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,2019
L,Yamada, Hiroki,14,24,22,1,0,0,0,0,0,0,0,0,1,0,1,0,0,17,1,0,0,0.043,S,2019
R,Yamada, Tetsuto,142,641,520,102,141,35,5,35,291,98,33,3,0,5,110,7,6,121,14,0.271,0.56,0.401,S,2019
R,Yamanaka, Hirofumi,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,S,2019
L,Yamasaki, Kotaro,80,185,168,20,46,4,3,0,56,8,4,0,6,0,10,0,1,39,4,0.274,0.333,0.318,S,2019
L,Yoshida, Taisei,13,39,32,3,6,1,0,0,7,2,1,1,1,0,4,0,2,8,1,0.188,0.219,0.316,S,2019
L,Abe, Tomohiro,114,295,264,23,67,12,0,8,103,28,5,2,6,1,23,0,1,60,9,0.254,0.39,0.315,C,2019
R,Aduwa, Makoto,19,28,25,2,2,0,0,0,2,1,0,0,3,0,0,0,0,19,0,0.08,0.08,0.08,C,2019
R,Aizawa, Tsubasa,126,447,376,38,104,21,2,12,165,63,2,1,3,0,58,5,10,81,6,0.277,0.439,0.387,C,2019
R,Akamatsu, Masato,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,2019
R,Batista, Xavier,103,423,372,54,100,11,1,26,191,64,0,0,0,3,45,2,3,108,6,0.269,0.513,0.35,C,2019
R,Chono, Hisayoshi,72,197,180,13,45,7,1,5,69,20,0,2,0,1,15,2,1,40,11,0.25,0.383,0.31,C,2019
R,Dobayashi, Shota,28,38,34,1,7,0,1,0,9,2,0,0,2,0,2,0,0,9,0,0.206,0.265,0.25,C,2019
R,Endo, Atsushi,34,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,C,2019
L,Franzua, Geronimo,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,2019
L,Fujii, Koya,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,2019
R,Hellweg, Johnny,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,2019
L,Horie, Atsuya,11,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,C,2019
R,Ichioka, Ryuji,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,2019
R,Imamura, Takeru,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,2019
R,Ishihara, Yoshiyuki,31,67,56,3,11,2,0,1,16,5,0,0,5,1,5,0,0,18,1,0.196,0.286,0.258,C,2019
R,Isomura, Yoshitaka,65,117,108,10,30,9,0,4,51,21,0,1,3,1,5,0,0,24,3,0.278,0.472,0.307,C,2019
L,Iwamoto, Takahiro,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,C,2019
L,Johnson, Kris,27,48,44,1,5,0,0,0,5,3,0,0,2,0,2,0,0,15,5,0.114,0.114,0.152,C,2019
R,Kemna, Makoto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,2019
R,Kikuchi, Ryosuke,138,619,547,77,143,36,2,13,222,48,14,5,28,2,41,0,1,102,5,0.261,0.406,0.313,C,2019
L,Kikuchi, Yasunori,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,2019
R,Kokubo, Tetsuya,51,125,114,5,28,3,0,1,34,5,0,0,1,0,10,2,0,19,3,0.246,0.298,0.306,C,2019
L,Kozono, Kaito,58,197,188,17,40,9,0,4,61,16,1,0,2,0,6,1,1,42,1,0.213,0.324,0.241,C,2019
R,Kuri, Aren,27,41,36,1,1,0,0,0,1,0,0,0,4,0,1,0,0,23,0,0.028,0.028,0.054,C,2019
R,Lawrence, Casey,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,C,2019
L,Matsuyama, Ryuhei,110,327,294,21,76,14,1,6,110,49,0,0,0,2,29,1,2,42,7,0.259,0.374,0.327,C,2019
R,Mejia, Alejandro,56,173,162,13,42,6,0,7,69,17,0,0,0,0,11,3,0,46,2,0.259,0.426,0.306,C,2019
R,Miyoshi, Takumi,43,92,77,9,14,1,0,2,21,7,1,0,6,0,9,2,0,28,1,0.182,0.273,0.267,C,2019
L,Montilla, Emailin,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,C,2019
R,Nagakawa, Katsuhiro,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,2019
L,Nakamura, Kyohei,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,2019
R,Nakamura, Yuta,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,2019
R,Nakata, Ren,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,2019
R,Nakazaki, Shota,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,2019
L,Nishikawa, Ryoma,138,585,535,70,159,23,3,16,236,64,6,7,11,5,32,4,2,81,9,0.297,0.441,0.336,C,2019
L,Noma, Takayoshi,123,353,314,52,78,10,5,2,104,16,14,2,6,1,27,3,5,56,5,0.248,0.331,0.317,C,2019
R,Nomura, Yusuke,18,32,24,0,1,1,0,0,2,1,0,0,7,0,1,0,0,10,0,0.042,0.083,0.08,C,2019
L,Okada, Akitake,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,C,2019
R,Osera, Daichi,26,60,47,3,6,1,0,0,7,0,0,0,7,0,6,0,0,31,0,0.128,0.149,0.226,C,2019
L,Regnault, Kyle,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,C,2019
L,Sakakura, Shogo,51,64,61,4,14,4,0,1,21,7,0,0,0,0,3,0,0,19,0,0.23,0.344,0.266,C,2019
R,Santana, Juan,13,34,33,1,6,0,0,0,6,5,0,0,0,0,1,0,0,5,2,0.182,0.182,0.206,C,2019
R,Shimauchi, Sotaro,25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,C,2019
R,Shimozuru, Ko,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,C,2019
L,Sone, Kaisei,64,31,25,17,5,0,0,0,5,2,5,2,2,0,3,1,1,10,0,0.2,0.2,0.31,C,2019
R,Suzuki, Seiya,140,612,499,112,167,31,0,28,282,87,25,16,0,3,103,12,7,81,3,0.335,0.565,0.453,C,2019
R,Takahashi, Hiroki,27,48,43,5,12,1,1,1,18,3,0,1,1,0,4,0,0,11,0,0.279,0.419,0.34,C,2019
L,Tanaka, Kosuke,97,355,311,33,60,13,0,3,82,27,8,3,4,6,32,2,2,89,4,0.193,0.264,0.268,C,2019
L,Tokoda, Hiroki,25,49,39,1,5,1,0,0,6,1,0,0,6,0,4,0,0,16,1,0.128,0.154,0.209,C,2019
S,Uemoto, Takashi,31,22,21,5,3,0,0,0,3,0,0,1,1,0,0,0,0,5,1,0.143,0.143,0.143,C,2019
R,Yabuta, Kazuki,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,C,2019
R,Yamaguchi, Sho,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,C,2019
R,Yasaki, Takuya,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,C,2019
R,Adachi, Yuichi,21,47,39,4,6,1,0,2,13,4,0,0,5,1,1,0,1,12,0,0.154,0.333,0.19,E,2019
L,Akaminai, Ginji,141,590,529,56,161,24,1,5,202,56,2,5,4,1,52,2,4,58,19,0.304,0.382,0.37,E,2019
L,Anraku, Tomohiro,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
R,Aoyama, Koji,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
R,Asamura, Hideto,143,635,529,93,139,26,2,33,268,92,1,1,0,9,93,9,4,162,12,0.263,0.507,0.372,E,2019
R,Blash, Jabari,128,527,426,66,111,20,0,33,230,95,2,3,0,3,81,2,17,157,7,0.261,0.54,0.397,E,2019
R,Busenitz, Alan,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
R,Fernando, Luciano,16,39,34,1,8,1,0,0,9,7,0,0,1,1,2,0,1,10,1,0.235,0.265,0.289,E,2019
R,Fujihira, Shoma,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
L,Fujita, Kazuya,61,136,124,13,32,4,0,2,42,10,1,0,4,0,7,1,1,16,1,0.258,0.339,0.303,E,2019
R,Fukui, Yuya,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
R,Fukuyama, Hiroyuki,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
R,Furukawa, Yuri,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,E,2019
L,Hashimoto, Itaru,11,10,9,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0.1,E,2019
L,Herrmann, Frank,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
L,Horiuchi, Kengo,65,140,122,6,19,2,2,0,25,13,0,0,11,0,5,1,2,41,2,0.156,0.205,0.202,E,2019
R,Imae, Toshiaki,26,79,76,7,21,2,0,1,26,7,0,1,0,0,3,0,0,16,6,0.276,0.342,0.304,E,2019
L,Ishibashi, Ryota,28,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,E,2019
R,Ishihara, Tsuyoshi,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,E,2019
R,Kamata, Yoshinao,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
L,Karashima, Wataru,27,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,E,2019
R,Kishi, Takayuki,15,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,E,2019
R,Kondo, Hiroki,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
R,Konno, Ryuta,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
R,Kubo, Yuya,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
L,Kumabara, Kento,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
L,Matsui, Yuki,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
L,Mima, Manabu,25,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.25,0.25,0.25,E,2019
R,Miyoshi, Takumi,17,4,4,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0.25,0.25,0.25,E,2019
L,Mogi, Eigoro,141,648,568,86,160,28,6,13,239,55,7,5,9,2,66,1,3,121,7,0.282,0.421,0.358,E,2019
L,Morihara, Kohei,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
R,Murabayashi, Itsuki,49,25,24,2,2,1,0,0,3,0,0,1,1,0,0,0,0,5,1,0.083,0.125,0.083,E,2019
R,Nishimaki, Kenji,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,E,2019
L,Nishimiya, Yusuke,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
L,Norimoto, Takahiro,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
L,Ogo, Yuya,22,34,29,7,5,2,0,1,10,4,0,0,1,0,4,0,0,11,0,0.172,0.345,0.273,E,2019
R,Okoye, Louis,52,122,110,12,20,4,0,3,33,15,5,1,2,1,6,0,3,29,3,0.182,0.3,0.242,E,2019
R,Ono, Fumiya,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
R,Ota, Hikaru,55,112,96,10,21,2,0,1,26,6,1,0,8,0,7,0,1,23,2,0.219,0.271,0.279,E,2019
L,Sato, Yoshinori,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
R,Shima, Motohiro,57,131,110,12,23,5,0,3,37,15,0,0,7,0,13,0,1,20,3,0.209,0.336,0.298,E,2019
R,Shimai, Hirohito,10,2,1,4,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.5,E,2019
L,Shimauchi, Hiroaki,133,585,506,68,145,21,5,10,206,57,3,4,9,1,58,0,11,65,11,0.287,0.407,0.372,E,2019
R,Shimozuru, Ko,50,101,88,12,22,2,0,2,30,6,0,1,2,0,10,0,1,28,1,0.25,0.341,0.333,E,2019
L,Shiomi, Takahiro,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,E,2019
L,Sugahara, Shu,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
L,Sung, Chia-Hao,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
L,Takanashi, Yuhei,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
S,Tanaka, Kazuki,59,193,160,22,30,6,2,1,43,9,3,7,5,2,26,1,0,37,3,0.188,0.269,0.298,E,2019
L,Tatsumi, Ryosuke,124,369,314,42,72,12,2,4,100,25,13,3,10,2,39,1,4,101,4,0.229,0.318,0.32,E,2019
R,Teraoka, Kanji,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
R,Tomura, Kenji,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
R,Uchida, Yasuhito,2,5,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.6,E,2019
R,Wada, Ren,31,113,107,7,27,4,1,2,39,11,0,0,1,1,3,0,1,32,4,0.252,0.364,0.277,E,2019
R,Watanabe, Naoto,19,19,16,1,1,0,0,1,4,1,0,0,1,0,1,0,1,7,0,0.063,0.25,0.167,E,2019
L,Watanabe, Yoshiaki,77,245,218,15,49,8,1,1,62,26,0,0,11,1,14,1,1,40,5,0.225,0.284,0.274,E,2019
L,Watanabe, Yuki,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
R,Wheeler, Zelous,117,472,411,53,100,15,0,19,172,67,3,5,0,10,43,0,8,96,22,0.243,0.418,0.32,E,2019
L,Yamasaki, Tsuyoshi,16,30,27,4,9,4,0,1,16,2,4,0,3,0,0,0,0,5,0,0.333,0.593,0.333,E,2019
L,Yamashita, Ayatsugu,31,66,60,8,11,1,0,3,21,5,0,0,3,0,1,0,2,13,0,0.183,0.35,0.222,E,2019
L,Yuge, Hayato,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,2019
R,Abe, Kazunari,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2019
