BATS,LNAME,FNAME,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,TEAM,YEAR
R,Ariyoshi, Yuki,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2019
R,Azuma, Yusuke,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2019
R,Bolsinger, Mike,20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,M,2019
L,Chen, Kuan-Yu,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2019
L,Dohi, Seiya,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,M,2019
R,Emura, Naoya,23,35,31,3,3,0,0,1,6,4,0,0,2,0,2,0,0,10,2,0.097,0.194,0.152,M,2019
L,Fujioka, Yudai,81,278,250,36,66,14,1,2,88,21,3,1,10,2,16,0,0,33,4,0.264,0.352,0.306,M,2019
L,Fujiwara, Kyota,6,19,19,0,2,0,0,0,2,2,0,0,0,0,0,0,0,6,0,0.105,0.105,0.105,M,2019
L,Fukuura, Kazuya,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2019
R,Futaki, Kota,22,6,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0.167,M,2019
L,Hirasawa, Taiga,51,108,91,10,18,3,1,1,26,8,0,2,5,0,12,0,0,28,0,0.198,0.286,0.291,M,2019
R,Hosokawa, Toru,31,8,6,0,2,0,0,0,2,1,0,0,2,0,0,0,0,1,0,0.333,0.333,0.333,M,2019
R,Hosoya, Kei,29,20,19,3,3,1,0,0,4,1,0,0,0,0,1,0,0,7,0,0.158,0.211,0.2,M,2019
R,Inoue, Seiya,129,509,429,60,108,16,1,24,198,65,0,0,0,3,67,1,9,98,10,0.252,0.462,0.362,M,2019
R,Ishikawa, Ayumu,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,M,2019
R,Ishizaki, Tsuyoshi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2019
R,Iwashita, Daiki,21,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,M,2019
R,Kakinuma, Tomoya,34,73,54,5,9,0,0,1,12,2,0,0,10,0,4,0,5,20,0,0.167,0.222,0.286,M,2019
L,Kakunaka, Katsuya,108,435,368,47,95,17,1,8,138,48,2,2,3,4,55,2,5,63,10,0.258,0.375,0.359,M,2019
R,Karakawa, Yuki,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2019
S,Kato, Shohei,60,120,109,12,22,3,1,4,39,9,4,2,2,0,7,0,2,32,2,0.202,0.358,0.263,M,2019
L,Katsuki, Kazuya,26,33,33,3,5,0,0,1,8,3,0,0,0,0,0,0,0,9,0,0.152,0.242,0.152,M,2019
R,Kiyota, Ikuhiro,117,377,336,49,85,8,2,10,127,57,1,3,2,2,35,1,2,77,6,0.253,0.378,0.325,M,2019
R,Laird, Brandon,139,553,487,59,121,18,0,32,235,89,0,0,0,3,55,2,8,128,18,0.248,0.483,0.333,M,2019
R,Lee, Tu-Hsuan,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,M,2019
L,Mann, Brandon,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2019
L,Martin, Leonys,52,228,194,32,45,9,0,14,96,39,3,3,0,1,26,1,7,57,4,0.232,0.495,0.342,M,2019
R,Masuda, Naoya,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2019
R,Matsuda, Shin,3,6,5,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0.2,0.2,0.333,M,2019
L,Matsunaga, Takahiro,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2019
S,Mike, Kazuma,25,22,21,3,6,1,1,1,12,5,0,0,0,0,1,0,0,8,0,0.286,0.571,0.318,M,2019
R,Miki, Ryo,89,145,126,20,27,3,0,2,36,15,5,0,8,1,6,0,4,38,1,0.214,0.286,0.27,M,2019
R,Minami, Masaki,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2019
L,Nagano, Shoji,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2019
R,Nakamura, Shogo,143,586,512,68,119,22,0,17,192,59,12,6,6,3,53,2,12,96,10,0.232,0.375,0.317,M,2019
L,Nakamura, Toshiya,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2019
R,Nishino, Yuji,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2019
R,Ogino, Takashi,125,569,508,76,160,35,7,10,239,46,28,10,9,4,40,1,8,56,4,0.315,0.47,0.371,M,2019
L,Ojima, Kazuya,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2019
R,Oka, Hiromi,95,182,154,36,35,8,1,6,63,16,13,1,3,1,18,1,6,32,5,0.227,0.409,0.33,M,2019
R,Otani, Tomohisa,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2019
R,Ravin, Josh,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2019
R,Sakai, Tomohito,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2019
R,Sasaki, Chihaya,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2019
L,Sugano, Tsuyoshi,28,73,66,7,13,2,0,3,24,7,0,0,0,0,6,0,1,11,0,0.197,0.364,0.274,M,2019
L,Suzuki, Daichi,140,614,527,76,152,34,4,15,239,68,3,1,13,2,56,0,16,75,11,0.288,0.454,0.373,M,2019
L,Takahama, Takuya,8,7,7,0,2,2,0,0,4,3,0,0,0,0,0,0,0,3,0,0.286,0.571,0.286,M,2019
R,Takano, Keisuke,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2019
R,Tamura, Tatsuhiro,100,321,284,30,69,12,1,3,92,31,1,2,12,3,22,0,0,59,8,0.243,0.324,0.294,M,2019
R,Tanaka, Yasuhiro,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2019
R,Taneichi, Atsuki,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,M,2019
R,Tojo, Taiki,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,2019
S,Vargas, Kennys,35,102,84,4,15,5,0,1,23,6,0,0,0,0,16,1,2,36,2,0.179,0.274,0.324,M,2019
R,Wakui, Hideaki,18,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,M,2019
R,Yoshida, Yuta,32,56,47,2,11,1,0,2,18,7,0,1,4,0,5,0,0,13,2,0.234,0.383,0.308,M,2019
R,Adachi, Ryoichi,56,179,155,18,43,6,1,2,57,20,10,2,4,1,18,0,1,29,5,0.277,0.368,0.354,B,2019
R,Albers, Andrew,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
R,Aranishi, Yudai,13,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,B,2019
R,Cho, Yaku,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
R,Dickson, Brandon,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
R,Eppler, Tyler,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
L,Fukuda, Shuhei,135,583,492,65,123,13,5,2,152,38,30,14,19,2,62,0,8,57,7,0.25,0.309,0.342,B,2019
R,Fushimi, Torai,39,72,61,4,10,0,0,1,13,9,0,1,0,1,8,1,2,16,2,0.164,0.213,0.278,B,2019
L,Gibo, Sho,8,28,26,0,6,1,0,0,7,0,0,0,0,0,2,0,0,7,0,0.231,0.269,0.286,B,2019
L,Goto, Shunta,91,194,165,17,37,7,3,1,53,22,4,3,6,1,19,0,3,47,1,0.224,0.321,0.314,B,2019
L,Hidarisawa, Yu,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
R,Higa, Motoki,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
R,Iida, Daisuke,8,16,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,1,0,0,0,B,2019
L,Iwamoto, Akira,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
L,Kaida, Tomoyuki,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
R,Kambe, Fumiya,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
R,Kaneda, Kazuyuki,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
R,Kishida, Mamoru,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
R,Kobayashi, Keisuke,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
L,Kojima, Shuhei,103,266,246,23,54,9,0,4,75,18,7,4,3,1,16,0,0,49,2,0.22,0.305,0.266,B,2019
R,Kondo, Taisuke,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
R,Marrero, Chris,43,133,123,8,26,7,0,2,39,14,0,0,0,2,7,0,1,35,5,0.211,0.317,0.256,B,2019
R,Masui, Hirotoshi,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
L,Matsuba, Takahiro,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
L,Matsui, Masato,24,42,36,5,7,0,0,0,7,2,0,0,3,0,3,0,0,7,0,0.194,0.194,0.256,B,2019
R,Matsui, Yusuke,7,18,18,2,6,1,0,1,10,1,0,0,0,0,0,0,0,3,1,0.333,0.556,0.333,B,2019
R,Meneses, Joey,29,118,102,7,21,4,0,4,37,14,0,1,0,3,13,0,0,28,3,0.206,0.363,0.288,B,2019
R,Miyazaki, Yuki,15,28,23,1,3,0,0,0,3,1,0,0,0,1,2,0,2,9,0,0.13,0.13,0.25,B,2019
S,Moya, Steven,64,255,242,24,59,7,0,10,96,35,0,0,0,1,10,0,2,59,7,0.244,0.397,0.278,B,2019
L,Mune, Yuma,54,177,148,16,40,6,1,2,54,14,7,3,4,1,13,0,11,30,4,0.27,0.365,0.37,B,2019
R,Nakagawa, Keita,111,396,364,39,105,21,2,3,139,32,9,5,4,2,25,1,1,62,6,0.288,0.382,0.334,B,2019
L,Naruse, Yoshihisa,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
R,Nishimura, Ryo,19,53,49,3,13,3,0,2,22,4,2,0,2,0,2,0,0,10,1,0.265,0.449,0.294,B,2019
L,Nishino, Masahiro,56,188,166,21,40,5,1,1,50,14,1,0,3,1,16,0,2,24,1,0.241,0.301,0.314,B,2019
L,Nishiura, Hayato,77,239,220,24,43,8,1,1,56,18,8,3,5,1,13,0,0,56,1,0.195,0.255,0.239,B,2019
L,Oda, Yuya,82,203,180,21,37,5,2,3,55,21,9,5,3,2,12,0,6,47,0,0.206,0.306,0.275,B,2019
L,Okada, Takahiro,20,56,50,4,6,0,0,1,9,2,0,0,0,0,6,0,0,19,3,0.12,0.18,0.214,B,2019
R,Oshiro, Koji,91,345,302,36,79,18,2,3,110,28,11,10,11,1,25,0,6,56,4,0.262,0.364,0.329,B,2019
R,Ota, Ryo,6,16,13,1,0,0,0,0,0,0,0,0,0,0,2,0,1,7,0,0,0,0.188,B,2019
R,Romero, Stefen,81,331,295,47,90,15,0,18,159,63,3,3,0,6,25,2,5,83,3,0.305,0.539,0.363,B,2019
L,Saito, Koki,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
R,Sakakibara, Tsubasa,13,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,B,2019
S,Sano, Kodai,68,130,121,22,25,5,1,1,35,9,12,3,3,0,5,0,1,43,2,0.207,0.289,0.244,B,2019
L,Sawada, Keisuke,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
R,Shirasaki, Hiroyuki,25,54,49,6,10,0,0,2,16,6,0,0,0,0,5,0,0,14,1,0.204,0.327,0.278,B,2019
R,Sugimoto, Yutaro,18,51,51,5,8,1,0,4,21,7,1,0,0,0,0,0,0,22,2,0.157,0.412,0.157,B,2019
R,Suzuki, Kohei,58,53,44,3,10,1,0,0,11,0,0,0,2,0,4,0,3,12,2,0.227,0.25,0.333,B,2019
R,Suzuki, Kohei,19,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,B,2019
R,Suzuki, Yu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
L,Tajima, Daiki,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,B,2019
R,Takajo, Shuto,5,12,11,1,2,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0.182,0.182,0.25,B,2019
R,Takeda, Kengo,6,9,8,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0.125,0.125,0.222,B,2019
R,Takeyasu, Daichi,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,B,2019
R,Tomei, Daiki,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
L,Tomiyama, Ryoga,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
R,Tongu, Yuma,28,93,91,5,18,5,0,3,32,10,0,0,0,1,1,0,0,22,3,0.198,0.352,0.204,B,2019
R,Wakatsuki, Kenya,138,348,298,21,53,9,0,1,65,21,2,0,25,0,21,1,4,73,4,0.178,0.218,0.241,B,2019
R,Yamaashi, Tatsuya,28,64,61,3,10,0,1,1,15,8,0,1,0,0,2,0,1,12,1,0.164,0.246,0.203,B,2019
L,Yamada, Nobuyoshi,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
R,Yamamoto, Yoshinobu,20,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,B,2019
L,Yamaoka, Taisuke,26,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,B,2019
L,Yamasaki, Sachiya,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
R,Yamazaki, Katsuki,24,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,B,2019
L,Yoshida, Kazumasa,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
L,Yoshida, Masataka,143,610,521,92,168,24,2,29,283,85,5,1,0,5,79,12,5,64,12,0.322,0.543,0.413,B,2019
R,Yoshida, Ryo,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2019
R,Akiyoshi, Ryo,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
R,Arihara, Kohei,24,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,F,2019
L,Asama, Daiki,13,33,29,4,6,2,1,0,10,1,0,0,3,0,1,0,0,5,0,0.207,0.345,0.233,F,2019
R,Barbato, Johnny,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
L,Fujioka, Takahiro,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
L,Hakumura, Akihiro,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,F,2019
R,Hancock, Justin,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
L,Hiranuma, Shota,73,184,165,20,39,9,2,1,55,16,2,1,5,1,10,0,3,26,3,0.236,0.333,0.291,F,2019
L,Hori, Mizuki,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
R,Iguchi, Kazutomo,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
L,Imai, Junnosuke,2,7,7,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0.143,0.143,0.143,F,2019
L,Ishii, Kazunari,76,226,196,26,44,10,3,4,72,22,2,3,13,1,16,0,0,61,3,0.224,0.367,0.282,F,2019
R,Ishikawa, Naoya,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
R,Ishikawa, Ryo,46,86,75,3,15,3,0,0,18,3,0,0,9,0,2,0,0,29,2,0.2,0.24,0.221,F,2019
R,Kagiya, Yohei,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
L,Kaneko, Chihiro,26,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,F,2019
L,Kato, Takayuki,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
L,Kitaura, Ryuji,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
L,Kiyomiya, Kotaro,81,278,250,26,51,11,1,7,85,33,0,1,0,4,21,0,3,75,4,0.204,0.34,0.27,F,2019
L,Kondo, Kensuke,138,600,490,74,148,32,5,2,196,59,1,4,0,5,103,3,2,81,11,0.302,0.4,0.422,F,2019
R,Kori, Takuya,2,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.25,0.25,0.25,F,2019
L,Kumon, Katsuhiko,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
R,Kurobane, Toshiki,4,3,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.333,F,2019
R,Mannami, Chusei,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,F,2019
R,Matsumoto, Go,4,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,F,2019
L,Miyanishi, Naoki,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
L,Murata, Toru,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
R,Nabatame, Tsubasa,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
R,Nakamura, Masaru,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
L,Nakashima, Takuya,120,328,291,39,64,5,1,0,71,16,12,5,12,1,22,0,2,70,2,0.22,0.244,0.278,F,2019
R,Nakata, Sho,124,514,450,55,109,21,0,24,202,80,0,0,0,4,55,4,5,83,16,0.242,0.449,0.329,F,2019
L,Nishikawa, Haruki,142,651,548,88,158,26,6,5,211,41,19,5,8,0,93,2,2,111,5,0.288,0.385,0.393,F,2019
R,Nishimura, Takahiro,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
R,Ota, Taishi,132,594,557,79,161,28,1,20,251,77,6,2,0,5,27,4,5,111,22,0.289,0.451,0.325,F,2019
R,Rodriguez, Bryan,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
R,Saito, Yuki,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
R,Sanematsu, Kazunari,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
R,Shimizu, Yushi,98,246,216,17,56,8,0,5,79,24,0,1,9,1,19,0,1,51,6,0.259,0.366,0.321,F,2019
R,Sugiura, Toshihiro,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
S,Sugiya, Kenshi,83,157,134,15,28,4,1,4,46,12,5,1,6,1,13,1,3,36,2,0.209,0.343,0.291,F,2019
R,Suzuki, Ryotaro,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
R,Tamai, Taisho,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
L,Tanaka, Eito,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
L,Tanaka, Kensuke,89,170,153,15,39,6,2,1,52,16,0,0,2,1,14,1,0,17,3,0.255,0.34,0.315,F,2019
L,Taniguchi, Yuya,30,50,48,4,11,2,0,2,19,10,0,0,0,0,2,0,0,12,1,0.229,0.396,0.26,F,2019
R,Tsuruoka, Shinya,35,69,62,4,11,2,0,1,16,4,0,0,4,0,3,0,0,13,2,0.177,0.258,0.215,F,2019
L,Uehara, Kenta,13,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,F,2019
R,Urano, Hiroshi,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
L,Usami, Shingo,45,103,96,4,19,3,0,0,22,9,0,0,1,0,6,0,0,19,4,0.198,0.229,0.245,F,2019
R,Uwasawa, Naoyuki,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
L,Wang, Po-Jung,88,340,306,18,78,13,0,3,100,35,1,0,0,3,25,1,6,65,6,0.255,0.327,0.321,F,2019
R,Watanabe, Ryo,132,543,481,60,126,16,5,11,185,58,0,2,3,5,48,0,6,120,8,0.262,0.385,0.333,F,2019
R,Yachi, Ryota,24,26,25,1,2,0,0,0,2,1,0,0,0,0,0,0,1,8,2,0.08,0.08,0.115,F,2019
R,Yokoo, Toshitake,78,191,170,7,32,10,0,3,51,13,0,0,1,1,15,2,4,34,4,0.188,0.3,0.268,F,2019
R,Yoshida, Kosei,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
R,Yoshida, Yuki,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
L,Yoshikawa, Mitsuo,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2019
